date,reserve0,reserve1,token0.name,token1.name,priceUSD
2021-02-24 00:00:00,107334013.05821,66222.752818543946443905,USD//C,Wrapped Ether,1622.130622519012734874285180308713
2021-02-25 00:00:00,103172990.579272,69737.510139648902213301,USD//C,Wrapped Ether,1479.167204176220534037270351685325
2021-02-26 00:00:00,75022369.995455,52072.026528555164699499,USD//C,Wrapped Ether,1441.894039772400857154966707608776
2021-02-27 00:00:00,83754472.456948,57193.995102444510973453,USD//C,Wrapped Ether,1461.161760894954764135013893499029
2021-02-28 00:00:00,123016968.606037,86604.252909048910540884,USD//C,Wrapped Ether,1419.13257450192394188567105344773
2021-03-01 00:00:00,134541910.94116,85850.373587079258595241,USD//C,Wrapped Ether,1567.601616884822635273813034091803
2021-03-02 00:00:00,119432483.335606,80050.845066496958081164,USD//C,Wrapped Ether,1491.024724243690058451040272323521
2021-03-03 00:00:00,118757261.113126,75452.144868843426862091,USD//C,Wrapped Ether,1573.220406068399130523662474155964
2021-03-04 00:00:00,118364047.616349,77257.274543429091914046,USD//C,Wrapped Ether,1535.92761515632524075493361075751
2021-03-05 00:00:00,119119697.683926,77760.123680602437313368,USD//C,Wrapped Ether,1529.073726356420044092450412957032
2021-03-06 00:00:00,125969256.327414,76191.439332735428243639,USD//C,Wrapped Ether,1652.329171204599172114131792919252
2021-03-07 00:00:00,128810737.632048,74542.308539447994884654,USD//C,Wrapped Ether,1729.568979140013210393028206922103
2021-03-08 00:00:00,134361510.522191,73320.71944666499935427,USD//C,Wrapped Ether,1832.945376652155710850633808342259
2021-03-09 00:00:00,137670797.936186,73647.572830328980884498,USD//C,Wrapped Ether,1868.583525890820444706005236479758
2021-03-10 00:00:00,136369083.654107,75693.517400770567394444,USD//C,Wrapped Ether,1800.537162760140882500928432656207
2021-03-11 00:00:00,137916516.951422,75707.12706005453245271,USD//C,Wrapped Ether,1824.529513912912314334525876382178
2021-03-12 00:00:00,136642283.521858,77260.445340337182545761,USD//C,Wrapped Ether,1768.273750965904341029486051021167
2021-03-13 00:00:00,140766298.265932,73067.122262839945771426,USD//C,Wrapped Ether,1927.312134985216619336359998757469
2021-03-14 00:00:00,139206028.781707,75188.406181735364823907,USD//C,Wrapped Ether,1853.547346202426263032980095981678
2021-03-15 00:00:00,136389158.82252,76231.822402881634062927,USD//C,Wrapped Ether,1788.391246229672238382572548587071
2021-03-16 00:00:00,128111936.408535,71143.214328805805734775,USD//C,Wrapped Ether,1800.959099352766319389534366540411
2021-03-17 00:00:00,128964949.212382,70836.504890398426137894,USD//C,Wrapped Ether,1823.507178500705186808021123525388
2021-03-18 00:00:00,127706000.711186,71746.3605075782417364,USD//C,Wrapped Ether,1778.85098684165670662065331690169
2021-03-19 00:00:00,129990726.484637,71876.127695505362777643,USD//C,Wrapped Ether,1807.604599743042580599887514821981
2021-03-20 00:00:00,130287509.770123,71967.129459512509838902,USD//C,Wrapped Ether,1809.114106230393504908287830192406
2021-03-21 00:00:00,132644582.123956,74399.363788746239941195,USD//C,Wrapped Ether,1782.08782062251704977974663309068
2021-03-22 00:00:00,130772425.884923,77863.800097266937881849,USD//C,Wrapped Ether,1681.385896035168720904385196787517
2021-03-23 00:00:00,116284347.689079,69803.577666581212719978,USD//C,Wrapped Ether,1669.038945313620122863467425866961
2021-03-24 00:00:00,119919515.759973,75820.522464890706587711,USD//C,Wrapped Ether,1584.718635648443968446502491914845
2021-03-25 00:00:00,119055159.949465,74889.659830885065702979,USD//C,Wrapped Ether,1591.091067572618258889175345571963
2021-03-26 00:00:00,126415578.19292,74406.474352503672324764,USD//C,Wrapped Ether,1696.799547067369474670851739818491
2021-03-27 00:00:00,134245576.260717,78231.027868636148713384,USD//C,Wrapped Ether,1716.946129907537226514524692700341
2021-03-28 00:00:00,134117354.284343,79555.331722526653523549,USD//C,Wrapped Ether,1685.849087781564682409518674835839
2021-03-29 00:00:00,137930077.637512,76097.989708566213795685,USD//C,Wrapped Ether,1813.626857813313826974108690242228
2021-03-30 00:00:00,138604528.384297,75525.643450075386449093,USD//C,Wrapped Ether,1838.830339466855887000257501980257
2021-03-31 00:00:00,144549753.752588,75255.982840671925602217,USD//C,Wrapped Ether,1918.342815322769807789338501669373
