dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
83842163.348305,56483.726159004294193346,83823174.42088050011166165507308777,2021-02-27 00:00:00,167127859.6621093561322769525224886,1.527224518163785751,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1461.161760894954764135013893499029
179875191.284096,131530.417721940535528516,179855669.608921735125027684489637,2021-02-28 00:00:00,245805832.7872686326239077336057278,2.271157161566909602,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1419.13257450192394188567105344773
118147868.313139,78962.266639166506006806,118029108.2128618332757469333382539,2021-03-01 00:00:00,269158368.890543032581085008646673,2.361563423960706303,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1567.601616884822635273813034091803
97803601.691826,63735.366178474092882147,97758149.75857178725974855573080323,2021-03-02 00:00:00,238715578.3814959673662338704577584,2.146010435597635925,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1491.024724243690058451040272323521
88746331.695801,55997.949057507297964635,88719550.73636314119791084920455896,2021-03-03 00:00:00,237692890.1365542849752867881429995,2.075276469890979368,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1573.220406068399130523662474155964
94312238.644692,60668.820024702114772149,94324542.12558501542284940322563495,2021-03-04 00:00:00,237326621.5036861095458016794167987,2.093970187095631811,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1535.92761515632524075493361075751
120226608.59808,81010.879117529117809568,120241943.1116665634284950032267901,2021-03-05 00:00:00,237658168.2666420134765395641452195,2.104198405791164298,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1529.073726356420044092450412957032
69826417.880157,44080.12911668143636265,69798383.2181986008385616243150172,2021-03-06 00:00:00,251786675.6110884574436075631662529,2.140063081455937749,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1652.329171204599172114131792919252
84912807.166053,50945.986958955286170395,84878337.28737493050532447879944908,2021-03-07 00:00:00,257558659.6846335468118090823156283,2.138356631683125201,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1729.568979140013210393028206922103
113526925.803991,65519.612719162191864449,113638956.2007667406879348432942715,2021-03-08 00:00:00,268856442.8885163867337977631608495,2.163132042687784112,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1832.945376652155710850633808342259
93847268.537364,51335.469985627849095092,93839483.73040201912319869536767137,2021-03-09 00:00:00,275231358.703081600244790227432423,2.192190836820222285,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1868.583525890820444706005236479758
86852974.041711,47813.304232909291554656,86847606.92160515698526037998162536,2021-03-10 00:00:00,272578052.5408255264239497803317347,2.209784701016674983,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1800.537162760140882500928432656207
90346339.609479,50572.985920846418213143,90467656.53091814233740772990924463,2021-03-11 00:00:00,276128780.5714405177092473787979017,2.220274355693297648,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1824.529513912912314334525876382178
89095543.898021,50262.843756903731334125,89098258.18963327690965264164498261,2021-03-12 00:00:00,273260966.3083529842107110147773151,2.230360515793019646,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1768.273750965904341029486051021167
96574746.745742,52243.494367721453263326,96577964.19787928795695680271896371,2021-03-13 00:00:00,281653812.9377162372168010391193494,2.199197838100903464,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1927.312134985216619336359998757469
73724782.742519,39180.15808457853028376,73711748.05518733851512484816940921,2021-03-14 00:00:00,278730541.4866913744609381736193003,2.21674213021814224,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1853.547346202426263032980095981678
104750892.620725,58300.009333946357074654,104745277.8414027195126271500468219,2021-03-15 00:00:00,272664935.0807461537766410520353936,2.206832362702288006,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1788.391246229672238382572548587071
93099101.520167,52446.839883624941773997,93076721.49168268239635001850847063,2021-03-16 00:00:00,256252038.4053338470207660472996615,2.063981588808764671,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1800.959099352766319389534366540411
